id,address,municipality,name,number,lat,long
1,"Mito Hadzivasilev-Jasmin, Skopje 1000;",Centar,Strip Bookstore Bunker,23232480,41.99258,21.427126
2,St. Cyril and Methodius Skopje 1000,Center,Icon,3227850,41.99148,21.42765
3,"MK, Lazar Tanev, Skopje 1010",Old Skopje Bazaar,Macedonian Corner,70319929,42.000763,21.436697
4,"Str. Vasil Glavinov no.3 (local 15), 1000 Skopje, Macedonia ", Centar , Ili-Ili ,23225445,41.995647,21.42729
5,"MK, Bulevar Partizanski Odredi 102 / 2-1, Skopje 1000",Karpos 2,Kupi Kniga,23204405,42.00343,21.396705
6,"Bozidar Adzija 3, Skopje 1000",Kisela Voda,Trimaks 2,22777368,41.979951,21.437339
7,"Bulevar Jane Sandanski 71A, Skopje 1000",Aerodrom,Prosvetno delo,25111988,41.9859,21.466477
8,City wall block 3 ext.12; Place , Center , English price tag ,23109372,41.992871,21.427668
9,"st. Makedonija 43, Skopje 1000 ", Centar , Kultura ,23296763,41.995592,21.431086
10,"Dame Gruev broj 7 lokal 7, Skopje 1000",Centar,Prosvetno Delo,23117558,41.994341,21.427605
11,"Dame Gruev 3, Skopje 1000",Centar,Studentski Zbor,3222976,41.996109,21.427659
12,"Franklin Roosevelt 4, Skopje 1000",Taftalidze,Trimaks br.6,25511630,41.994038,21.412036
13,"Dimitrie Cupovski 26 / 1-1, Skopje 1000",Center,Police,23257273,41.995608,21.42547
14,"ul MK, Vasil Gjorgov br.16, Skopje 1000",Kozle,Bookstore TRI,23245622,41.992789,21.419997
16,"MK, Bulevar Sveti Kliment Ohridski 23, Skopje 1000",Centar,Klub Matica,23221138,41.995862,21.425228
17,"Porta Bunjakovec, MK, Bulevar Partizanski Odredi 23, Skopje 1000",Debar Maalo,Akademska Kniga,23125510,41.998412,21.423621
18,"Hristo Tatarchev 47v, Skopje 1000",Kisela Voda,Our Bookstore,71367676,41.974018,21.445596
19,bul.Kuzman Josifovski-Pitu 15/6,Aerodrom,Trimaks,22401280,41.988942,21.450712
20,"bul. Partisan detachments no. 88, M3-33 Karpos 4 ", Karpos 4 , Trimaks,25517445,42.005011,21.383809
21,"MK, Bulevar Partizanski Odredi 102 / 2-1, Skopje 1000",Leptokaria,Kupi kniga,23204405,42.003431,21.396704
22,ул. Dimitrie Cupovski br.10 , Centar , Trimaks 4 ,23232233,41.994792,21.430127
23,"GTC Ground floor, local 8, Skopje 1000",Center,TOPER Bookstore,23121937,41.994511,21.43561
24,"st. Makedonija, Skopje 1000 ", Centar , Literatura mk ,78264754,41.994047,21.430463
15,"MK, Maksim Gorki 17, Skopje 1000",Centar,Icon,23222543,41.996061,21.428685
